goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,feedback_x,feedback_y,feedback_z,feedback_roll,feedback_pitch,feedback_yaw
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0005,0.2881,-2.832,1.458,-2.795
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1798,-0.0002,0.2839,-2.909,1.446,-2.881
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0519,0.2893,0.2195,3.119,1.135,-3.107
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2098,0.3012,0.1765,-3.087,1.151,-3.059
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2167,0.2977,0.1562,-3.014,1.109,-3.003
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.221,0.2975,0.1617,-3.049,1.13,-3.044
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2488,0.2708,0.1604,1.754,1.484,-3.031
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1819,0.0015,0.2845,-2.889,1.447,-2.829
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0005,0.2881,-2.835,1.458,-2.795
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1807,0.0001,0.2831,-2.908,1.456,-2.857
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0501,0.2899,0.219,3.13,1.131,-3.093
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2153,0.3,0.1747,-3.088,1.151,-3.067
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2159,0.2979,0.1547,-3.02,1.106,-3.012
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2192,0.2975,0.1591,-3.04,1.119,-3.041
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2498,0.2697,0.1604,1.622,1.501,-3.084
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1832,0.0021,0.2842,-2.899,1.444,-2.833
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1772,-0.0004,0.2881,-2.836,1.462,-2.799
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1849,-0.0002,0.2769,-2.948,1.444,-2.924
-0.0576,-0.3339,0.1477,-3.112,1.49,-3.083,-0.0571,-0.3334,0.1516,-3.125,1.489,-3.123
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1773,-0.0046,0.2875,-2.835,1.455,-2.827
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0005,0.2881,-2.827,1.458,-2.795
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.224,0.2948,0.1736,-3.033,1.132,-3.005
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2203,0.2971,0.1649,-3.01,1.11,-2.982
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2171,0.2972,0.1554,-3.028,1.104,-3.034
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2492,0.27,0.1609,1.636,1.497,-3.081
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1799,0.0001,0.2852,-2.866,1.453,-2.822
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1772,-0.0005,0.2881,-2.821,1.461,-2.786
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1823,0.0,0.2809,-2.917,1.447,-2.865
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0655,0.2841,0.2246,3.085,1.143,3.118
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2167,0.2998,0.1745,-3.09,1.155,-3.07
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2137,0.2976,0.1519,-3.005,1.09,-3.004
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2151,0.2971,0.1534,-3.021,1.091,-3.027
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2492,0.27,0.1604,1.643,1.497,-3.081
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1818,0.0015,0.2845,-2.894,1.446,-2.832
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1774,-0.0004,0.2881,-2.823,1.466,-2.785
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1797,-0.0003,0.2845,-2.869,1.452,-2.841
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0528,0.289,0.2199,3.118,1.136,-3.111
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2078,0.3014,0.1769,-3.082,1.149,-3.054
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2168,0.298,0.1571,-3.021,1.11,-3.01
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2198,0.2972,0.1594,-3.036,1.119,-3.035
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2487,0.2705,0.1609,1.74,1.489,-3.041
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1819,0.0015,0.2845,-2.886,1.447,-2.829
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1772,-0.0005,0.2881,-2.823,1.461,-2.786
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.181,-0.0003,0.282,-2.907,1.441,-2.879
-0.0378,-0.3307,0.1594,3.087,1.488,3.119,-0.0352,-0.33,0.168,-3.008,1.487,-3.034
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1772,-0.0041,0.2878,-2.817,1.456,-2.807
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0006,0.2881,-2.812,1.458,-2.783
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.176,-0.0003,0.288,-2.864,1.439,-2.832
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0656,0.2828,0.2251,3.127,1.128,-3.12
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.176,-0.0005,0.288,-2.875,1.439,-2.844
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0553,0.2872,0.2208,-3.13,1.125,-3.078
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1761,-0.0006,0.288,-2.862,1.44,-2.83
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2273,0.2873,0.1816,-3.041,1.129,-3.013
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2162,0.2969,0.16,-2.978,1.072,-2.955
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2165,0.2966,0.1552,-3.013,1.093,-3.016
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2492,0.2691,0.1603,1.743,1.487,-2.962
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1821,0.0018,0.2843,-2.917,1.434,-2.856
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1768,-0.0004,0.2878,-2.87,1.45,-2.832
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1788,-0.0001,0.285,-2.905,1.445,-2.856
